case_id,slot,priority_std,top64_margin
deficit_service_only,0,0.005429,0.0
deficit_service_only,100,0.005874,8e-06
jain_fairness_only,0,0.008406,0.0
jain_fairness_only,100,0.009403,0.0
low_throughput_only,0,0.002499,0.0
low_throughput_only,100,0.001722,8e-06
pf_utility_only,0,0.002667,0.0
pf_utility_only,100,0.002171,0.0
service_only,0,0.004597,0.0
service_only,100,0.00395,3e-06
throughput_only,0,0.008864,0.0
throughput_only,100,0.010027,0.0
urgency_service_only,0,0.003487,0.0
urgency_service_only,100,0.001849,0.0
