case_id,case_label,mode,seed,ue_id,selected_slots,successful_slots,selection_fraction,success_fraction,final_delivered_bits,final_wait_slots,cqi,demand_factor
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,0,422,383,0.0844,0.0766,624497.702911377,2,10,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,1,789,703,0.1578,0.1406,1889386.370361328,4,13,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2,251,216,0.0502,0.0432,583611.9089355469,18,13,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3,252,226,0.0504,0.0452,685093.907043457,3,14,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4,141,126,0.0282,0.0252,11794.306396484377,26,1,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,5,191,175,0.0382,0.035,100100.07957458496,22,5,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,6,149,135,0.0298,0.027,30992.840301513672,12,3,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,7,264,236,0.0528,0.0472,778466.7388916016,19,15,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,8,231,206,0.0462,0.0412,294469.9358825684,0,9,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,9,279,262,0.0558,0.0524,71299.87338256836,10,3,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,10,376,334,0.0752,0.0668,428651.2512207031,12,8,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,11,184,157,0.0368,0.0314,180033.5255126953,11,8,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,12,238,205,0.0476,0.041,296208.2471923828,13,9,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,13,139,126,0.0278,0.0252,11640.276275634766,17,1,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,14,260,233,0.052,0.0466,538996.8728027344,18,12,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,15,202,168,0.0404,0.0336,276151.8585205078,16,10,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,16,219,198,0.0438,0.0396,225664.142578125,7,8,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,17,198,181,0.0396,0.0362,133355.46844482422,24,6,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,18,374,334,0.0748,0.0668,429204.349609375,3,8,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,19,326,292,0.0652,0.0584,888331.0423583984,14,14,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,20,333,291,0.0666,0.0582,889070.0864868164,11,14,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,21,245,217,0.049,0.0434,581651.2866210938,9,13,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,22,152,135,0.0304,0.027,31591.998901367188,13,3,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,23,171,151,0.0342,0.0302,16019.132568359377,26,1,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,24,276,250,0.0552,0.05,42298.773582458496,0,2,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,25,155,139,0.031,0.0278,50239.28268432617,22,4,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,26,359,315,0.0718,0.063,1039293.2235717772,13,15,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,27,331,298,0.0662,0.0596,252101.29321289065,15,6,2.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,28,153,135,0.0306,0.027,31374.123046875,12,3,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,29,159,135,0.0318,0.027,31374.123046875,12,3,0.5
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,30,182,158,0.0364,0.0316,26144.638275146484,0,2,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,31,176,158,0.0352,0.0316,25873.70938110352,14,2,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,32,175,158,0.035,0.0316,25941.441604614258,7,2,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,33,205,182,0.041,0.0364,132675.95013427734,6,6,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,34,297,256,0.0594,0.0512,690792.5954589844,7,13,1.0
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,35,140,126,0.028,0.0252,11816.31069946289,35,1,0.5
