metric,rank,case_id,reward_X,value,note
Goodput cao nhất,1,pf_utility_hold_jain,PF utility,106570.4116707016,Goodput tăng nhưng đánh đổi fairness quá lớn; không phải cải thiện cân bằng.
Goodput cao nhất,2,urgency_service_hold_service,Urgency service,105663.33376492768,Goodput tăng nhưng đánh đổi fairness quá lớn; không phải cải thiện cân bằng.
Goodput cao nhất,3,low_throughput_group_tj,Low-throughput,99024.448839328,"Ổn định nhưng tăng trưởng nhỏ/không rõ: goodput nhích lên, fairness và delay gần như không tốt hơn."
Jain cao nhất,1,urgency_service_hold_throughput,Urgency service,0.3248265379778111,Tốt nhất toàn Round: tăng fairness và giảm P99 mà giữ goodput.
Jain cao nhất,2,deficit_service_anchor_preserving,Deficit service,0.2921135641111174,Ứng viên fairness/delay; có thể thay một phần Jain nhưng mất goodput.
Jain cao nhất,3,urgency_service_heavy,Urgency service,0.2764585366138908,"Ứng viên dự phòng: ổn định, tail tốt hơn nhưng mất khoảng 3.1% goodput."
P99 thấp nhất,1,deficit_service_anchor_preserving,Deficit service,43.0,Ứng viên fairness/delay; có thể thay một phần Jain nhưng mất goodput.
P99 thấp nhất,2,urgency_service_heavy,Urgency service,46.0,"Ứng viên dự phòng: ổn định, tail tốt hơn nhưng mất khoảng 3.1% goodput."
P99 thấp nhất,3,urgency_service_hold_throughput,Urgency service,46.0,Tốt nhất toàn Round: tăng fairness và giảm P99 mà giữ goodput.
Max wait thấp nhất,1,deficit_service_anchor_preserving,Deficit service,44.0,Ứng viên fairness/delay; có thể thay một phần Jain nhưng mất goodput.
Max wait thấp nhất,2,urgency_service_heavy,Urgency service,47.0,"Ứng viên dự phòng: ổn định, tail tốt hơn nhưng mất khoảng 3.1% goodput."
Max wait thấp nhất,3,urgency_service_hold_throughput,Urgency service,48.0,Tốt nhất toàn Round: tăng fairness và giảm P99 mà giữ goodput.
